0,1,2
0.6145841271424216,0.972885278563568,0.002680758136539896
0.03864007632598421,0.862399624719301,0.6131012347449991
0.5719207956162394,0.09256486849555112,0.4024988471446216
0.10695175945930979,0.8400865301218231,0.08980514691950581
0.10049931749908403,0.8645239447533074,0.38421395512120915
0.14253259218812142,0.7343498898985452,0.1951465760270591
0.17512144492588133,0.22657419079524854,0.047257533472119584
0.9092338500663265,0.4358895832669447,0.3303417691846966
0.14564896299163577,0.40095078103486015,0.876355222912423
0.24920190460288494,0.491848007648792,0.8439946647382942
